al_#,PON ID
96.011,PON.T124
10.207,PON.N22
95.004,PON.65
95.004,PON.11IA
95.004,PON.T125
93.876,PON.2L
16.321,PON.59
16.321,PON.861
23.002,PON.104
23.002,PON.117
23.002,PON.208
20.229,PON.117
20.229,PON.9C
20.229,PON.T35
23.003,PON.117
23.003,PON.T35
23.009,PON.117
23.001,PON.104
23.001,PON.117
23.001,PON.208
23.011,PON.8C
11.63A,PON.103
11.63A,PON.T125
11.63A,PON.1S
11.63B,PON.103
11.63B,PON.T121
11.63B,PON.36
11.468,PON.82
11.468,PON.T122
15.557,PON.11Q
10.782,PON.N22
10.782,PON.T125
15.580,PON.11Q
15.580,PON.6Q
15.580,PON.9Q
15.244,PON.11Q
15.244,PON.6Q
93.107,PON.125
93.107,PON.876
93.107,PON.N74
15.542,PON.208
15.542,PON.T55
12.021,PON.N29
10.289,PON.853
10.289,PON.129
10.289,PON.852
11.619,PON.1S
11.619,PON.2S
93.846,PON.103
93.846,PON.15L
93.846,PON.T125
93.AR6,PON.103
93.AR6,PON.15L
93.AR6,PON.T88
93.AR5,PON.103
93.AR5,PON.15L
93.AR5,PON.82
93.AR1,PON.15L
93.AR1,PON.T88
93.AR1,PON.103
93.AR3,PON.102
93.AR3,PON.15L
93.AR3,PON.N16
93.AR4,PON.102
93.AR4,PON.15L
93.AR4,PON.N16
81.012,PON.65
81.012,PON.82
81.012,PON.T120
45.201,PON.155
45.201,PON.T19
84.351,PON.200
15.621,PON.N26
15.621,PON.T125
93.081,PON.103
93.429,PON.50
19.707,PON.10IA
19.792,PON.138
19.792,PON.11IA
19.973,PON.138
19.973,PON.5IA
20.945,PON.81
20.945,PON.8C
TC.120,PON.182
TC.120,PON.T91
20.709,PON.827
20.709,PON.9F
93.604,PON.896
93.604,PON.N37
93.604,PON.N40
93.945,PON.125
93.945,PON.T89
97.044,PON.50
97.044,PON.827
10.859,PON.4E
10.859,PON.6E
10.859,PON.7E
20.910,PON.82
20.910,PON.869
20.814,PON.866
20.814,PON.12B
15.805,PON.912
15.805,PON.N28
15.805,PON.T122
15.027,PON.911
15.027,PON.913
93.997,PON.896
93.997,PON.T73
10.621,PON.N22
10.621,PON.T1
93.469,PON.11
10.280,PON.11
10.280,PON.633
10.280,PON.11
10.280,PON.76
10.280,PON.1A
11.474,PON.2Q
11.474,PON.N26
15.053,PON.T55
84.428,PON.57
93.998,PON.15L
93.998,PON.T99
93.998,PON.11
93.877,PON.11
93.877,PON.872
93.877,PON.N74
64.100,PON.11
64.100,PON.859
20.944,PON.8C
20.944,PON.T34
20.112,PON.827
20.108,PON.103
20.108,PON.1T
20.819,PON.12B
21.021,PON.866
21.021,PON.11C
85.200,PON.195
85.200,PON.912
12.300,PON.1ND
93.623,PON.172
93.623,PON.T73
93.640,PON.N68
12.431,PON.1ND
12.630,PON.36
12.630,PON.102
12.630,PON.1ND
15.928,PON.T18
15.928,PON.T97
15.570,PON.208
15.570,PON.11Q
66.472,PON.2J
66.472,PON.T53
10.311,PON.827
93.979,PON.896
93.979,PON.897
93.979,PON.876
93.336,PON.15L
20.620,PON.103
20.620,PON.T34
15.160,PON.4Q
15.160,PON.5Q
10.593,PON.629
10.593,PON.827
10.376,PON.869
TC.028,PON.866
TC.028,PON.N73
10.867,PON.N73
93.EB6,PON.15L
93.EB6,PON.103
93.EB5,PON.15L
93.EB5,PON.103
93.EB5,PON.N74
93.EB1,PON.15L
93.EB1,PON.16L
93.EB1,PON.103
93.EB2,PON.36
93.EB2,PON.15L
93.EB2,PON.868
93.EB3,PON.102
93.EB3,PON.N16
93.EB3,PON.N19
93.EB4,PON.102
93.EB4,PON.N16
93.EB4,PON.N74
10.378,PON.N73
47.074,PON.102
47.074,PON.195
47.074,PON.T125
10.087,PON.869
10.087,PON.N73
10.312,PON.N22
93.360,PON.15L
93.360,PON.16L
93.388,PON.15L
93.388,PON.16L
93.GM7,PON.102
93.GM7,PON.15L
93.GM7,PON.103
93.GM4,PON.15L
93.GM4,PON.103
93.GM5,PON.15L
93.GM5,PON.T125
93.GM5,PON.103
93.GM1,PON.15L
93.GM1,PON.T125
93.GM1,PON.103
93.GM2,PON.36
93.GM2,PON.15L
93.GM2,PON.868
93.GM3,PON.102
93.GM3,PON.N16
93.GM3,PON.N19
93.GM6,PON.102
93.GM6,PON.N16
93.859,PON.102
93.859,PON.15L
93.859,PON.T125
10.236,PON.36
10.865,PON.N73
10.219,PON.103
10.219,PON.N22
10.736,PON.N29
10.733,PON.N29
10.732,PON.10Q
10.732,PON.4Q
93.073,PON.125
93.073,PON.876
93.073,PON.N74
10.192,PON.1A
10.192,PON.2A
15.075,PON.5C
15.228,PON.4Q
93.958,PON.896
93.959,PON.897
93.839,PON.103
93.839,PON.15L
93.839,PON.T125
93.080,PON.876
93.080,PON.N74
10.232,PON.117
10.232,PON.204
10.232,PON.455
11.058,PON.12B
11.058,PON.103
11.058,PON.N27
38.009,PON.127
38.009,PON.635
97.136,PON.4T
97.012,PON.4T
16.835,PON.N36
10.449,PON.75
10.449,PON.866
15.938,PON.T97
93.BZ1,PON.15L
93.BZ1,PON.103
93.BZ1,PON.896
97.047,PON.50
97.047,PON.7F
20.950,PON.36
20.263,PON.117
20.263,PON.9C
20.263,PON.T35
20.264,PON.117
20.264,PON.9C
20.264,PON.T35
11.015,PON.N28
11.035,PON.104
11.031,PON.104
17.603,PON.1H
17.603,PON.2H
66.815,PON.827
66.815,PON.4J
66.818,PON.4J
66.818,PON.8Q
66.814,PON.4J
66.814,PON.8Q
TC.172,PON.T91
11.024,PON.36
11.024,PON.117
16.607,PON.N36
15.048,PON.T55
19.793,PON.11IA
19.600,PON.11IA
15.423,PON.10E
15.423,PON.N73
15.408,PON.N73
19.108,PON.11IA
19.750,PON.N66
64.101,PON.1N
20.529,PON.T34
20.529,PON.T36
20.526,PON.1J
20.526,PON.T36
10.768,PON.866
84.153,PON.144
84.153,PON.913
11.452,PON.36
11.452,PON.N28
